trait	study_accession	biomarker_name	internal_trait	anchor_factor	anchor_factor_label	subset	match_quality	validation_priority	N	discovery_sample_ancestry	h2	h2_se	h2_z	intercept	ratio	lambda_gc	mean_chi2	sumstats_file
ext_GCST90301943	GCST90301943	Alanine levels	Ala	nonlipid8_F2	F2_amino_acid_axis	external_same_domain_support	same_domain_support	same_domain_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.0804	0.0098	8.204081632653061	1.0349	0.1385	1.1651	1.2523	D:/metabolic/233/sumstats/GCST90301943.sumstats.gz
ext_GCST90301987	GCST90301987	Isoleucine levels	Ile	nonlipid8_F2	F2_amino_acid_axis	external_same_domain_support	same_domain_support	same_domain_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.0704	0.0077	9.142857142857142	1.0382	0.1673	1.1683	1.2282	D:/metabolic/233/sumstats/GCST90301987.sumstats.gz
ext_GCST90301949	GCST90301949	Citrate levels	Citrate	nonlipid8_F3	F3_energy_bridge_axis	external_same_domain_support	same_domain_support	same_domain_bivariate_candidate	83416	['11340 South Asian', '72076 European']	0.0696	0.0091	7.648351648351648	1.0242	0.1784	1.1113	1.1357	D:/metabolic/233/sumstats/GCST90301949.sumstats.gz
