factor	target_trait	anchor_factor	internal_trait	external_trait	study_accession	validation_priority	pair_set	expected_alignment
nonlipid8_F1	ext_GCST90301943	nonlipid8_F2	Ala	Alanine levels	GCST90301943	same_domain_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F2	ext_GCST90301943	nonlipid8_F2	Ala	Alanine levels	GCST90301943	same_domain_bivariate_candidate	support_match	support
nonlipid8_F3	ext_GCST90301943	nonlipid8_F2	Ala	Alanine levels	GCST90301943	same_domain_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F1	ext_GCST90301987	nonlipid8_F2	Ile	Isoleucine levels	GCST90301987	same_domain_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F2	ext_GCST90301987	nonlipid8_F2	Ile	Isoleucine levels	GCST90301987	same_domain_bivariate_candidate	support_match	support
nonlipid8_F3	ext_GCST90301987	nonlipid8_F2	Ile	Isoleucine levels	GCST90301987	same_domain_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F1	ext_GCST90301949	nonlipid8_F3	Citrate	Citrate levels	GCST90301949	same_domain_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F2	ext_GCST90301949	nonlipid8_F3	Citrate	Citrate levels	GCST90301949	same_domain_bivariate_candidate	cross_factor	nonprimary
nonlipid8_F3	ext_GCST90301949	nonlipid8_F3	Citrate	Citrate levels	GCST90301949	same_domain_bivariate_candidate	support_match	support
