trait	h2	intercept
Ala	0.0867669875358752	1.09735972801938
Gln	0.101222826552266	1.0747680509461
His	0.0321917241651027	1.10915062626427
Ile	0.041565828305566	1.04652551277138
Leu	0.0537927982710868	1.04162921179233
Phe	0.0283684934198335	1.05020822787087
Tyr	0.0730883654615243	1.03611686505829
Val	0.072135648268858	1.10568523558258
ApoA1	0.126236576358769	1.3478847595004
HDL_C	0.163928383357316	1.41971086789533
VLDL_C	0.103245756032716	1.2932129718461
HDL_CE	0.166265368836099	1.42358174705754
Total_CE	0.102873728489395	1.22720240153202
VLDL_CE	0.096161120674733	1.27185586841944
DHA	0.0890185129629961	1.18142867986324
LA	0.091183983339574	1.21851716595145
MUFA	0.121949982101951	1.2197469807083
Omega_3	0.0983055104702798	1.20890868883218
Omega_6	0.0997912017762834	1.2073037723847
PUFA	0.102078147399255	1.2573914563267
SFA	0.0993096149316471	1.18362128700566
Total_FA	0.10412884649722	1.24118365589481
Albumin	0.0793774065345158	1.16144889656409
Creatinine	0.130921670497705	1.21254230451138
HDL_FC	0.146157934647698	1.3803534250217
VLDL_FC	0.112018040819399	1.30037256215728
Citrate	0.0788961463708927	1.10986709929139
Glucose	0.044389189443597	1.09926111815077
Lactate	0.0374523695222852	1.0908082089569
GlycA	0.137286097887262	1.19796925642461
Acetate	0.0285524318997965	1.01428918157035
Acetoacetate	0.0274273223168987	1.00064552333039
Acetone	0.0326868401099145	1.00247065535015
bOHbutyrate	0.0395526496927036	1.03734192568632
HDL_size	0.166548639720104	1.44880647467862
LDL_size	0.0508956875384869	1.13200760023238
VLDL_size	0.143156683630558	1.30335922097849
IDL_TG	0.110415326107587	1.30364886334527
L_HDL_C	0.184753980484845	1.48632644291644
L_HDL_CE	0.184599921594672	1.50414387187844
L_HDL_FC	0.171424477639089	1.45704311790875
L_HDL_L	0.172785556870078	1.4670541435103
L_HDL_PL	0.162626473287264	1.45167426015024
L_LDL_TG	0.11306674910197	1.28822783088958
L_VLDL_C	0.126442554202404	1.32422433625101
L_VLDL_CE	0.118353215912751	1.29932038405183
L_VLDL_FC	0.137322205720531	1.31389852810911
L_VLDL_L	0.135436081373871	1.28154108088764
L_VLDL_PL	0.140556469865657	1.30788394268273
L_VLDL_TG	0.131983246986134	1.25034838974241
M_HDL_C	0.135579329102525	1.36027781762172
M_HDL_CE	0.136674625990564	1.36113911420203
M_HDL_FC	0.126224853934404	1.35332843613347
M_HDL_L	0.111891058771274	1.34431791659517
M_HDL_PL	0.104176675786629	1.31591505849151
M_HDL_TG	0.0978300475791772	1.29746379964973
M_LDL_TG	0.126307658774937	1.30319148761576
M_VLDL_FC	0.0952334522851754	1.25717544198909
M_VLDL_L	0.108490957714088	1.28469037723922
M_VLDL_PL	0.101201203465299	1.27090898216744
M_VLDL_TG	0.131822205296143	1.26256208061221
S_HDL_C	0.10061853305425	1.12956521420266
S_HDL_CE	0.0957694172018851	1.15020149397757
S_HDL_FC	0.101462657011443	1.15934415594965
S_HDL_L	0.11036954107425	1.11550200652871
S_HDL_PL	0.107755613220019	1.13372585403898
S_HDL_TG	0.14594338286174	1.3478692200722
S_LDL_TG	0.129692909276509	1.28926268099672
S_VLDL_C	0.102282922236931	1.29917726368845
S_VLDL_CE	0.105908996633486	1.31677911950895
S_VLDL_FC	0.0975324332762738	1.26162426830785
S_VLDL_L	0.123164661919242	1.30441970261953
S_VLDL_PL	0.109194644655352	1.29064622122867
S_VLDL_TG	0.137696670043081	1.29924957616836
XL_HDL_C	0.164497628679522	1.46240921822936
XL_HDL_CE	0.171116152461791	1.47629268594431
XL_HDL_FC	0.135029539818058	1.3928114721158
XL_HDL_L	0.15565591317067	1.44196021632338
XL_HDL_PL	0.151641197055116	1.42268395326829
XL_HDL_TG	0.0786767645444726	1.28303597113717
XL_VLDL_C	0.127693295018195	1.31254009790651
XL_VLDL_CE	0.123346433928913	1.29936947464142
XL_VLDL_FC	0.132869983112845	1.28690527331969
XL_VLDL_L	0.138420992148794	1.29220157860683
XL_VLDL_PL	0.135890148348691	1.28744745731787
XL_VLDL_TG	0.142049884060754	1.27709000619768
XS_VLDL_C	0.0887897030843187	1.25658816982532
XS_VLDL_CE	0.0915036642045471	1.24859719018527
XS_VLDL_FC	0.0930583940835716	1.25643493006731
XS_VLDL_L	0.0956868123708784	1.26704241164669
XS_VLDL_PL	0.0949105775998511	1.30236007269583
XS_VLDL_TG	0.125027572231078	1.32317759467614
XXL_VLDL_C	0.128117687043556	1.26286495016061
XXL_VLDL_CE	0.127569242325144	1.26468710070627
XXL_VLDL_FC	0.12487378487997	1.24185676778122
XXL_VLDL_L	0.119300188562389	1.21589113090195
XXL_VLDL_PL	0.127966486205641	1.24984822323116
XXL_VLDL_TG	0.110040145199427	1.18130872716266
Cholines	0.101658956003054	1.25293363375797
Phosphatidylc	0.100923677349481	1.24343159463964
Phosphoglyc	0.102064270825176	1.21278831662882
Sphingomyelins	0.101033503862646	1.30504972394128
HDL_PL	0.121426471639266	1.38420734982122
Total_PL	0.101396670198467	1.23087612132139
VLDL_PL	0.121682720592557	1.29203346636064
HDL_L	0.134729182337307	1.39300285808737
Total_L	0.0982049613819429	1.19873309092785
VLDL_L	0.124698993462118	1.28790433167847
HDL_TG	0.0973546956005861	1.29627637977798
LDL_TG	0.120955242375333	1.28100718400862
Total_TG	0.136525220974698	1.27048082798775
VLDL_TG	0.137025103966436	1.26781996194709
