study_accession	trait_code	biomarker_name	group	sumstats_file
GCST90451191	L_VLDL_PL	Phospholipids in large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451191.sumstats.gz
GCST90451194	L_VLDL_TG	Triglycerides in large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451194.sumstats.gz
GCST90451198	M_HDL_C	Cholesterol in medium HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451198.sumstats.gz
GCST90451196	M_HDL_CE	Cholesteryl esters in medium HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451196.sumstats.gz
GCST90451200	M_HDL_FC	Free cholesterol in medium HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451200.sumstats.gz
GCST90451201	M_HDL_L	Total lipids in medium HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451201.sumstats.gz
GCST90451203	M_HDL_PL	Phospholipids in medium HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451203.sumstats.gz
GCST90451206	M_HDL_TG	Triglycerides in medium HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451206.sumstats.gz
GCST90451218	M_LDL_TG	Triglycerides in medium LDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451218.sumstats.gz
GCST90451226	M_VLDL_FC	Free cholesterol in medium VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451226.sumstats.gz
GCST90451227	M_VLDL_L	Total lipids in medium VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451227.sumstats.gz
GCST90451229	M_VLDL_PL	Phospholipids in medium VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451229.sumstats.gz
GCST90451232	M_VLDL_TG	Triglycerides in medium VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451232.sumstats.gz
GCST90451252	S_HDL_C	Cholesterol in small HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451252.sumstats.gz
GCST90451250	S_HDL_CE	Cholesteryl esters in small HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451250.sumstats.gz
GCST90451254	S_HDL_FC	Free cholesterol in small HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451254.sumstats.gz
GCST90451255	S_HDL_L	Total lipids in small HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451255.sumstats.gz
GCST90451257	S_HDL_PL	Phospholipids in small HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451257.sumstats.gz
GCST90451260	S_HDL_TG	Triglycerides in small HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451260.sumstats.gz
GCST90451272	S_LDL_TG	Triglycerides in small LDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451272.sumstats.gz
GCST90451277	S_VLDL_C	Cholesterol in small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451277.sumstats.gz
GCST90451275	S_VLDL_CE	Cholesteryl esters in small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451275.sumstats.gz
GCST90451279	S_VLDL_FC	Free cholesterol in small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451279.sumstats.gz
GCST90451280	S_VLDL_L	Total lipids in small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451280.sumstats.gz
GCST90451282	S_VLDL_PL	Phospholipids in small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451282.sumstats.gz
GCST90451285	S_VLDL_TG	Triglycerides in small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451285.sumstats.gz
GCST90451310	XL_HDL_C	Cholesterol in very large HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451310.sumstats.gz
GCST90451308	XL_HDL_CE	Cholesteryl esters in very large HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451308.sumstats.gz
GCST90451312	XL_HDL_FC	Free cholesterol in very large HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451312.sumstats.gz
GCST90451313	XL_HDL_L	Total lipids in very large HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451313.sumstats.gz
GCST90451315	XL_HDL_PL	Phospholipids in very large HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451315.sumstats.gz
GCST90451318	XL_HDL_TG	Triglycerides in very large HDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451318.sumstats.gz
GCST90451322	XL_VLDL_C	Cholesterol in very large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451322.sumstats.gz
GCST90451320	XL_VLDL_CE	Cholesteryl esters in very large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451320.sumstats.gz
GCST90451324	XL_VLDL_FC	Free cholesterol in very large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451324.sumstats.gz
GCST90451325	XL_VLDL_L	Total lipids in very large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451325.sumstats.gz
GCST90451327	XL_VLDL_PL	Phospholipids in very large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451327.sumstats.gz
GCST90451330	XL_VLDL_TG	Triglycerides in very large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451330.sumstats.gz
GCST90451334	XS_VLDL_C	Cholesterol in very small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451334.sumstats.gz
GCST90451332	XS_VLDL_CE	Cholesteryl esters in very small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451332.sumstats.gz
GCST90451336	XS_VLDL_FC	Free cholesterol in very small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451336.sumstats.gz
GCST90451337	XS_VLDL_L	Total lipids in very small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451337.sumstats.gz
GCST90451339	XS_VLDL_PL	Phospholipids in very small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451339.sumstats.gz
GCST90451342	XS_VLDL_TG	Triglycerides in very small VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451342.sumstats.gz
GCST90451346	XXL_VLDL_C	Cholesterol in chylomicrons and extremely large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451346.sumstats.gz
GCST90451344	XXL_VLDL_CE	Cholesteryl esters in chylomicrons and extremely large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451344.sumstats.gz
GCST90451348	XXL_VLDL_FC	Free cholesterol in chylomicrons and extremely large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451348.sumstats.gz
GCST90451349	XXL_VLDL_L	Total lipids in chylomicrons and extremely large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451349.sumstats.gz
GCST90451351	XXL_VLDL_PL	Phospholipids in chylomicrons and extremely large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451351.sumstats.gz
GCST90451354	XXL_VLDL_TG	Triglycerides in chylomicrons and extremely large VLDL	Lipoprotein subclasses	D:/metabolic/GWAS/sumstats/GCST90451354.sumstats.gz
GCST90451115	Cholines	Total cholines	Other lipids	D:/metabolic/GWAS/sumstats/GCST90451115.sumstats.gz
GCST90451240	Phosphatidylc	Phosphatidylcholines	Other lipids	D:/metabolic/GWAS/sumstats/GCST90451240.sumstats.gz
GCST90451241	Phosphoglyc	Phosphoglycerides	Other lipids	D:/metabolic/GWAS/sumstats/GCST90451241.sumstats.gz
GCST90451273	Sphingomyelins	Sphingomyelins	Other lipids	D:/metabolic/GWAS/sumstats/GCST90451273.sumstats.gz
GCST90451129	HDL_PL	Phospholipids in HDL	Phospholipids	D:/metabolic/GWAS/sumstats/GCST90451129.sumstats.gz
GCST90451293	Total_PL	Total phospholipids in lipoprotein particles	Phospholipids	D:/metabolic/GWAS/sumstats/GCST90451293.sumstats.gz
GCST90451303	VLDL_PL	Phospholipids in VLDL	Phospholipids	D:/metabolic/GWAS/sumstats/GCST90451303.sumstats.gz
GCST90451128	HDL_L	Total lipids in HDL	Total lipids	D:/metabolic/GWAS/sumstats/GCST90451128.sumstats.gz
GCST90451292	Total_L	Total lipids in lipoprotein particles	Total lipids	D:/metabolic/GWAS/sumstats/GCST90451292.sumstats.gz
GCST90451302	VLDL_L	Total lipids in VLDL	Total lipids	D:/metabolic/GWAS/sumstats/GCST90451302.sumstats.gz
GCST90451132	HDL_TG	Triglycerides in HDL	Triglycerides	D:/metabolic/GWAS/sumstats/GCST90451132.sumstats.gz
GCST90451157	LDL_TG	Triglycerides in LDL	Triglycerides	D:/metabolic/GWAS/sumstats/GCST90451157.sumstats.gz
GCST90451295	Total_TG	Total triglycerides	Triglycerides	D:/metabolic/GWAS/sumstats/GCST90451295.sumstats.gz
GCST90451306	VLDL_TG	Triglycerides in VLDL	Triglycerides	D:/metabolic/GWAS/sumstats/GCST90451306.sumstats.gz
