trait_code	h2	intercept	max_abs_rg_with_any_trait	selected_for_efa	study_accession	biomarker_name	group	Z	h2_obs	h2_obs_se	n_independent_leads	reported_trait	ftp_path
XL_VLDL_FC	0.132869983112845	1.28690527331969	0.995494884723107	False	GCST90451324	Free cholesterol in very large VLDL	Lipoprotein subclasses	8.220588235294116	0.1677	0.0204	401	Free cholesterol in very large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451324/GCST90451324.tsv.gz
XL_VLDL_L	0.138420992148794	1.29220157860683	1.00191930338319	False	GCST90451325	Total lipids in very large VLDL	Lipoprotein subclasses	8.598039215686274	0.1754	0.0204	417	Total lipids in very large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451325/GCST90451325.tsv.gz
XL_VLDL_PL	0.135890148348691	1.28744745731787	0.996473931105647	False	GCST90451327	Phospholipids in very large VLDL	Lipoprotein subclasses	8.448275862068966	0.1715	0.0203	410	Phospholipids in very large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451327/GCST90451327.tsv.gz
XL_VLDL_TG	0.142049884060754	1.27709000619768	0.991836780126299	True	GCST90451330	Triglycerides in very large VLDL	Lipoprotein subclasses	8.709359605911331	0.1768	0.0203	421	Triglycerides in very large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451330/GCST90451330.tsv.gz
XS_VLDL_C	0.0887897030843187	1.25658816982532	0.978709348408887	True	GCST90451334	Cholesterol in very small VLDL	Lipoprotein subclasses	4.152466367713004	0.0926	0.0223	289	Cholesterol in very small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451334/GCST90451334.tsv.gz
XS_VLDL_CE	0.0915036642045471	1.24859719018527	0.863745905596956	True	GCST90451332	Cholesteryl esters in very small VLDL	Lipoprotein subclasses	4.043668122270742	0.0926	0.0229	279	Cholesteryl esters in very small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451332/GCST90451332.tsv.gz
XS_VLDL_FC	0.0930583940835716	1.25643493006731	0.981077990504599	True	GCST90451336	Free cholesterol in very small VLDL	Lipoprotein subclasses	4.870813397129187	0.1018	0.0209	304	Free cholesterol in very small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451336/GCST90451336.tsv.gz
XS_VLDL_L	0.0956868123708784	1.26704241164669	0.999293580641031	True	GCST90451337	Total lipids in very small VLDL	Lipoprotein subclasses	5.240384615384616	0.109	0.0208	314	Total lipids in very small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451337/GCST90451337.tsv.gz
XS_VLDL_PL	0.0949105775998511	1.30236007269583	0.810733200350715	False	GCST90451339	Phospholipids in very small VLDL	Lipoprotein subclasses	5.75	0.115	0.02	330	Phospholipids in very small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451339/GCST90451339.tsv.gz
XS_VLDL_TG	0.125027572231078	1.32317759467614	0.971996466935494	True	GCST90451342	Triglycerides in very small VLDL	Lipoprotein subclasses	6.567901234567901	0.1596	0.0243	376	Triglycerides in very small VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451342/GCST90451342.tsv.gz
XXL_VLDL_C	0.128117687043556	1.26286495016061	0.998513393758254	True	GCST90451346	Cholesterol in chylomicrons and extremely large VLDL	Lipoprotein subclasses	6.865217391304348	0.1579	0.023	360	Cholesterol in chylomicrons and extremely large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451346/GCST90451346.tsv.gz
XXL_VLDL_CE	0.127569242325144	1.26468710070627	0.989805871458113	False	GCST90451344	Cholesteryl esters in chylomicrons and extremely large VLDL	Lipoprotein subclasses	6.977973568281938	0.1584	0.0227	373	Cholesteryl esters in chylomicrons and extremely large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451344/GCST90451344.tsv.gz
XXL_VLDL_FC	0.12487378487997	1.24185676778122	0.997479265307079	False	GCST90451348	Free cholesterol in chylomicrons and extremely large VLDL	Lipoprotein subclasses	6.617391304347827	0.1522	0.023	348	Free cholesterol in chylomicrons and extremely large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451348/GCST90451348.tsv.gz
XXL_VLDL_L	0.119300188562389	1.21589113090195	0.993804168226395	True	GCST90451349	Total lipids in chylomicrons and extremely large VLDL	Lipoprotein subclasses	7.083333333333332	0.1445	0.0204	327	Total lipids in chylomicrons and extremely large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451349/GCST90451349.tsv.gz
XXL_VLDL_PL	0.127966486205641	1.24984822323116	0.984262252977215	False	GCST90451351	Phospholipids in chylomicrons and extremely large VLDL	Lipoprotein subclasses	6.906666666666667	0.1554	0.0225	362	Phospholipids in chylomicrons and extremely large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451351/GCST90451351.tsv.gz
XXL_VLDL_TG	0.110040145199427	1.18130872716266	0.942322897966799	True	GCST90451354	Triglycerides in chylomicrons and extremely large VLDL	Lipoprotein subclasses	7.311111111111112	0.1316	0.018	291	Triglycerides in chylomicrons and extremely large VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451354/GCST90451354.tsv.gz
Cholines	0.101658956003054	1.25293363375797	1.00169682129536	True	GCST90451115	Total cholines	Other lipids	6.801136363636363	0.1197	0.0176	308	Total cholines	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451115/GCST90451115.tsv.gz
Phosphatidylc	0.100923677349481	1.24343159463964	0.986232385031925	True	GCST90451240	Phosphatidylcholines	Other lipids	6.718232044198895	0.1216	0.0181	305	Phosphatidylcholines	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451240/GCST90451240.tsv.gz
Phosphoglyc	0.102064270825176	1.21278831662882	0.983954912551461	True	GCST90451241	Phosphoglycerides	Other lipids	6.910112359550562	0.123	0.0178	293	Phosphoglycerides	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451241/GCST90451241.tsv.gz
Sphingomyelins	0.101033503862646	1.30504972394128	0.842181606936256	True	GCST90451273	Sphingomyelins	Other lipids	4.37872340425532	0.1029	0.0235	315	Sphingomyelins	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451273/GCST90451273.tsv.gz
HDL_PL	0.121426471639266	1.38420734982122	0.986402881368736	False	GCST90451129	Phospholipids in HDL	Phospholipids	8.47337278106509	0.1432	0.0169	380	Phospholipids in HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451129/GCST90451129.tsv.gz
Total_PL	0.101396670198467	1.23087612132139	0.901472464705331	False	GCST90451293	Total phospholipids in lipoprotein particles	Phospholipids	5.968911917098445	0.1152	0.0193	315	Total phospholipids in lipoprotein particles	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451293/GCST90451293.tsv.gz
VLDL_PL	0.121682720592557	1.29203346636064	1.00017520725954	False	GCST90451303	Phospholipids in VLDL	Phospholipids	6.882352941176471	0.1521	0.0221	376	Phospholipids in VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451303/GCST90451303.tsv.gz
HDL_L	0.134729182337307	1.39300285808737	0.450852781398603	False	GCST90451128	Total lipids in HDL	Total lipids	9.646341463414634	0.1582	0.0164	422	Total lipids in HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451128/GCST90451128.tsv.gz
Total_L	0.0982049613819429	1.19873309092785	0.717892998014282	True	GCST90451292	Total lipids in lipoprotein particles	Total lipids	4.597457627118644	0.1085	0.0236	293	Total lipids in lipoprotein particles	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451292/GCST90451292.tsv.gz
VLDL_L	0.124698993462118	1.28790433167847	0.988327750344677	True	GCST90451302	Total lipids in VLDL	Total lipids	7.453271028037384	0.1595	0.0214	388	Total lipids in VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451302/GCST90451302.tsv.gz
HDL_TG	0.0973546956005861	1.29627637977798	0.9152102665277	True	GCST90451132	Triglycerides in HDL	Triglycerides	5.077821011673151	0.1305	0.0257	272	Triglycerides in HDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451132/GCST90451132.tsv.gz
LDL_TG	0.120955242375333	1.28100718400862	0.897054860774513	True	GCST90451157	Triglycerides in LDL	Triglycerides	7.289719626168225	0.156	0.0214	370	Triglycerides in LDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451157/GCST90451157.tsv.gz
Total_TG	0.136525220974698	1.27048082798775	0.989428492450633	True	GCST90451295	Total triglycerides	Triglycerides	7.790909090909091	0.1714	0.022	402	Total triglycerides	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451295/GCST90451295.tsv.gz
VLDL_TG	0.137025103966436	1.26781996194709		False	GCST90451306	Triglycerides in VLDL	Triglycerides	8.136792452830187	0.1725	0.0212	396	Triglycerides in VLDL	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90451001-GCST90452000/GCST90451306/GCST90451306.tsv.gz
