trait	study_accession	biomarker_name	internal_trait	anchor_factor	anchor_factor_label	subset	match_quality	validation_priority	N	discovery_sample_ancestry	h2	h2_se	h2_z	intercept	ratio	lambda_gc	mean_chi2	sumstats_file
ext_GCST90302041	GCST90302041	Triglycerides in medium HDL	M_HDL_TG	lipid8_F1	F1_TG_rich_axis	external_primary_exact	exact	primary_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.1268	0.0175	7.245714285714285	1.0456	0.117	1.1876	1.3901	D:/metabolic/233/sumstats/GCST90302041.sumstats.gz
ext_GCST90302055	GCST90302055	Monounsaturated fatty acids (16:1, 18:1) levels	MUFA	lipid8_F1	F1_TG_rich_axis	external_primary_exact	exact_platform_variant	primary_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.1198	0.0165	7.260606060606061	1.0493	0.1326	1.2038	1.3715	D:/metabolic/233/sumstats/GCST90302055.sumstats.gz
ext_GCST90302124	GCST90302124	Mean diameter of VLDL particles	VLDL_size	lipid8_F1	F1_TG_rich_axis	external_primary_exact	exact_terminology_variant	primary_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.1362	0.0197	6.913705583756345	1.0457	0.1108	1.2168	1.4125	D:/metabolic/233/sumstats/GCST90302124.sumstats.gz
ext_GCST90301945	GCST90301945	Apolipoprotein A-I levels	ApoA1	lipid8_F2	F2_HDL_core_axis	external_primary_exact	exact_terminology_variant	primary_bivariate_candidate_caution	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.1237	0.0149	8.302013422818792	1.0503	0.1316	1.2103	1.3825	D:/metabolic/233/sumstats/GCST90301945.sumstats.gz
ext_GCST90302154	GCST90302154	Free cholesterol in very small VLDL	XS_VLDL_FC	lipid8_F3	F3_CE_structural_axis	external_primary_exact	exact	primary_bivariate_candidate_caution	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.1172	0.0162	7.234567901234568	1.0555	0.1586	1.1683	1.3501	D:/metabolic/233/sumstats/GCST90302154.sumstats.gz
