trait	study_accession	biomarker_name	internal_trait	anchor_factor	anchor_factor_label	subset	match_quality	validation_priority	N	discovery_sample_ancestry	h2	h2_se	h2_z	intercept	ratio	lambda_gc	mean_chi2	sumstats_file
ext_GCST90301948	GCST90301948	3-Hydroxybutyrate levels	bOHbutyrate	nonlipid8_F1	F1_ketone_axis	external_primary_exact	exact_terminology_variant	primary_bivariate_candidate_caution	83416	['11340 South Asian', '72076 European']	0.04	0.0075	5.333333333333334	1.018	0.2154	1.0741	1.0835	D:/metabolic/233/sumstats/GCST90301948.sumstats.gz
ext_GCST90301994	GCST90301994	Leucine levels	Leu	nonlipid8_F2	F2_amino_acid_axis	external_primary_exact	exact_terminology_variant	primary_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.0679	0.0075	9.053333333333336	1.0274	0.1297	1.1587	1.211	D:/metabolic/233/sumstats/GCST90301994.sumstats.gz
ext_GCST90302070	GCST90302070	Phenylalanine levels	Phe	nonlipid8_F2	F2_amino_acid_axis	external_primary_exact	exact	primary_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.0533	0.0071	7.507042253521126	1.0342	0.198	1.1238	1.1726	D:/metabolic/233/sumstats/GCST90302070.sumstats.gz
ext_GCST90302122	GCST90302122	Valine levels	Val	nonlipid8_F2	F2_amino_acid_axis	external_primary_exact	exact	primary_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.0729	0.0077	9.467532467532468	1.0294	0.133	1.1587	1.2214	D:/metabolic/233/sumstats/GCST90302122.sumstats.gz
ext_GCST90301964	GCST90301964	Glucose levels	Glucose	nonlipid8_F3	F3_energy_bridge_axis	external_primary_exact	exact	primary_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.048	0.0069	6.956521739130436	1.0242	0.156	1.1019	1.1551	D:/metabolic/233/sumstats/GCST90301964.sumstats.gz
