trait	study_accession	biomarker_name	internal_trait	anchor_factor	anchor_factor_label	subset	match_quality	validation_priority	N	discovery_sample_ancestry	h2	h2_se	h2_z	intercept	ratio	lambda_gc	mean_chi2	sumstats_file
ext_GCST90302081	GCST90302081	Cholesterol esters in small HDL	HDL_CE	lipid8_F2	F2_HDL_core_axis	external_same_domain_support	approximate_size_specific	same_domain_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.0584	0.0068	8.588235294117647	1.0326	0.1772	1.1238	1.1841	D:/metabolic/233/sumstats/GCST90302081.sumstats.gz
ext_GCST90302021	GCST90302021	Cholesterol esters in large VLDL	VLDL_CE	lipid8_F3	F3_CE_structural_axis	external_same_domain_support	approximate_size_specific	same_domain_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.1286	0.0193	6.663212435233159	1.0492	0.124	1.2005	1.3968	D:/metabolic/233/sumstats/GCST90302021.sumstats.gz
ext_GCST90302140	GCST90302140	Cholesterol esters in very large VLDL	VLDL_CE	lipid8_F3	F3_CE_structural_axis	external_same_domain_support	approximate_size_specific	same_domain_bivariate_candidate	136016	['4435 East Asian', '11340 South Asian', '120241 European']	0.1089	0.0161	6.763975155279503	1.0497	0.1446	1.1876	1.344	D:/metabolic/233/sumstats/GCST90302140.sumstats.gz
